,Unnamed: 0,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,year,observation_count,observation_percent,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,second_max_value,third_max_value,fourth_max_value,first_max_non_overlapping_value,second_max_non_overlapping_value,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile
117,463899,22,33,9,42101,1,30.46198,-91.17922,2007,8373,96,347,365,0,0,0.0,0.0,0,0.384701,0.253172,1.8,1.7,1.7,1.7,1.8,1.6,1.1,1.0,0.9,0.7,0.5,0.4,0.1
118,466457,11,1,43,42101,1,38.921847,-77.013178,2013,7682,88,316,365,0,0,0.0,0.0,0,0.215413,0.13651,1.2,1.2,1.2,1.1,1.2,1.0,0.7,0.6,0.4,0.3,0.3,0.2,0.0
119,470258,27,123,50,42101,1,44.9558,-93.14585,1992,8445,96,350,366,0,0,0.0,0.0,0,1.699657,0.854775,7.5,7.5,7.4,7.3,7.5,7.5,4.1,3.7,3.2,2.8,2.2,1.6,0.8
120,477309,9,9,25,42101,1,41.309167,-72.923333,1996,8298,94,340,366,0,0,0.0,0.0,0,0.934719,0.385511,3.0,2.9,2.9,2.8,3.0,2.9,2.2,2.0,1.7,1.4,1.1,0.9,0.5
121,487739,16,27,6,42101,1,43.579446,-116.561111,2000,8720,99,362,366,0,0,0.0,0.0,0,1.621869,0.835418,5.3,5.3,5.1,5.1,5.3,5.1,3.9,3.6,3.2,2.8,2.1,1.5,0.6
122,501391,1,73,23,42101,2,33.553056,-86.815,2011,8030,92,340,365,0,0,0.0,0.0,0,0.41396,0.16759,1.3,1.2,1.2,1.2,1.3,1.2,1.0,0.9,0.7,0.6,0.5,0.4,0.3
123,502485,39,95,23,42101,1,41.654804,-83.666561,1997,8707,99,361,365,0,0,0.0,0.0,0,0.452142,0.300969,2.1,2.0,2.0,1.9,2.1,1.9,1.4,1.3,1.0,0.8,0.6,0.4,0.1
124,502708,48,439,3011,42101,1,32.656357,-97.088585,2009,8413,96,349,365,0,0,0.0,0.0,0,0.232046,0.121373,1.2,1.1,1.1,1.1,1.2,1.1,0.7,0.6,0.4,0.4,0.3,0.2,0.1
125,508889,48,141,44,42101,1,31.765685,-106.455227,2006,8685,99,358,365,0,0,0.0,0.0,0,0.511215,0.413681,4.9,4.8,4.4,4.2,4.9,3.8,2.3,1.8,1.2,0.9,0.6,0.4,0.2
126,523012,42,91,13,42101,1,40.112222,-75.309167,1997,8511,97,352,365,0,0,0.0,0.0,0,0.59167,0.330964,2.3,2.2,2.2,2.2,2.3,2.2,1.5,1.3,1.1,1.0,0.8,0.6,0.1
127,524970,8,1,3001,42101,1,39.838119,-104.94984,2016,8295,94,336,366,0,0,0.0,0.0,0,0.401603,0.196757,1.6,1.6,1.5,1.5,1.6,1.5,1.1,1.0,0.8,0.7,0.5,0.4,0.2
128,527077,40,109,33,42101,1,35.477036,-97.494309,2009,8719,100,363,365,0,0,0.0,0.0,0,0.523294,0.246963,1.5,1.5,1.4,1.4,1.5,1.2,1.0,0.9,0.9,0.8,0.7,0.5,0.2
129,527418,11,1,41,42101,1,38.895572,-76.958072,2003,8519,97,351,365,0,0,0.0,0.0,0,0.90027,0.626415,4.5,4.5,4.3,4.3,4.5,4.0,3.1,2.6,2.1,1.6,1.2,0.8,0.2
130,528247,36,29,16,42101,1,42.886447,-78.888925,1995,8663,99,359,365,0,0,0.0,0.0,0,0.752949,0.318654,2.8,2.8,2.7,2.7,2.8,2.7,1.8,1.6,1.3,1.2,0.9,0.7,0.4
131,528723,9,9,27,42101,1,41.3014,-72.902871,2008,5395,61,222,366,0,0,0.0,0.0,0,0.361131,0.206898,1.9,1.9,1.8,1.8,1.9,1.6,1.1,1.0,0.7,0.6,0.4,0.3,0.2
132,530260,12,103,2008,42101,1,27.892801,-82.680378,1998,8491,97,350,365,0,0,0.0,0.0,0,1.043128,0.441313,3.0,3.0,2.9,2.8,3.0,2.6,2.1,2.0,1.9,1.7,1.3,1.0,0.5
133,532190,6,85,5,42101,1,37.348497,-121.894898,2004,8678,99,357,366,0,0,0.0,0.0,0,0.638707,0.428156,3.0,2.9,2.9,2.9,3.0,2.9,2.3,2.1,1.5,1.2,0.7,0.5,0.3
134,532804,20,173,1014,42101,1,37.686403,-97.338379,1988,8446,96,349,366,0,0,0.0,0.0,0,1.62098,1.091418,8.9,8.7,8.1,8.1,8.9,8.1,5.2,4.6,3.8,3.1,2.1,1.3,0.5
135,549716,4,13,1004,42101,1,33.56033,-112.06626,1996,8561,97,354,366,0,0,0.0,0.0,0,1.10528,0.658468,3.9,3.8,3.7,3.7,3.9,3.7,3.0,2.8,2.4,2.1,1.5,0.9,0.4
136,550432,30,13,1025,42101,1,47.496347,-111.294975,1996,7913,90,327,366,0,0,0.0,0.0,0,1.083154,0.655696,8.5,8.1,8.1,8.0,8.5,5.4,3.4,2.8,2.2,1.8,1.4,1.0,0.4
